delta,adjPval,mLassoRad,minDmrSep,TP,FP,FN,Pwr,Precis,AuPR,MCC,F1
0.1,0.05,700,1e3,299 (3.03),21 (2.79),201 (3.03),0.6 (0.01),0.94 (0.01),0.7 (0.01),0.71 (0.01),0.73 (0)
0.1,0.05,1e3,200,361 (6.82),35 (7.46),139 (6.82),0.72 (0.01),0.93 (0.01),0.79 (0.01),0.79 (0.01),0.81 (0.01)
0.1,0.05,1e3,250,361 (6.82),35 (7.46),139 (6.82),0.72 (0.01),0.93 (0.01),0.79 (0.01),0.79 (0.01),0.81 (0.01)
0.1,0.05,1e3,500,362 (7.02),36 (7.37),138 (7.02),0.72 (0.01),0.93 (0.01),0.79 (0.01),0.79 (0.01),0.81 (0.01)
0.1,0.05,1e3,750,362 (6.87),36 (7.36),138 (6.87),0.72 (0.01),0.93 (0.01),0.79 (0.01),0.79 (0.01),0.81 (0.01)
0.1,0.05,1e3,1e3,362 (7.02),36 (7.36),138 (7.02),0.72 (0.01),0.93 (0.01),0.79 (0.01),0.79 (0.01),0.81 (0.01)
0.1,0.1,375,200,212 (8.53),10 (3.78),288 (8.53),0.42 (0.02),0.96 (0.01),0.58 (0.01),0.6 (0.01),0.58 (0.01)
0.1,0.1,375,250,212 (8.53),10 (3.78),288 (8.53),0.42 (0.02),0.96 (0.01),0.58 (0.01),0.6 (0.01),0.58 (0.01)
0.1,0.1,375,500,213 (8.93),10 (3.78),287 (8.93),0.43 (0.02),0.96 (0.01),0.58 (0.01),0.6 (0.01),0.58 (0.02)
0.1,0.1,375,750,213 (8.93),10 (3.78),287 (8.93),0.43 (0.02),0.96 (0.01),0.58 (0.01),0.6 (0.01),0.58 (0.01)
0.1,0.1,375,1e3,214 (9.29),10 (3.9),286 (9.29),0.43 (0.02),0.96 (0.02),0.58 (0.01),0.6 (0.01),0.58 (0.02)
0.1,0.1,700,200,309 (4.66),21 (3.11),191 (4.66),0.62 (0.01),0.95 (0.01),0.72 (0.01),0.73 (0.01),0.74 (0.01)
0.1,0.1,700,250,309 (4.66),21 (3.11),191 (4.66),0.62 (0.01),0.95 (0.01),0.72 (0.01),0.73 (0.01),0.74 (0.01)
0.1,0.1,700,500,309 (4.66),21 (2.92),191 (4.66),0.62 (0.01),0.95 (0.01),0.72 (0.01),0.73 (0.01),0.74 (0.01)
0.1,0.1,700,750,309 (4.38),21 (2.92),191 (4.38),0.62 (0.01),0.95 (0.01),0.72 (0.01),0.73 (0.01),0.74 (0.01)
0.1,0.1,700,1e3,309 (4.64),21 (2.79),191 (4.64),0.62 (0.01),0.94 (0.01),0.72 (0.01),0.73 (0.01),0.74 (0.01)
0.1,0.1,1e3,200,373 (4.72),35 (7.86),127 (4.72),0.75 (0.01),0.93 (0.01),0.8 (0.01),0.8 (0),0.82 (0)
0.1,0.1,1e3,250,373 (4.72),35 (7.86),127 (4.72),0.75 (0.01),0.93 (0.01),0.8 (0.01),0.8 (0),0.82 (0)
0.1,0.1,1e3,500,373 (5.1),36 (7.79),127 (5.1),0.75 (0.01),0.93 (0.01),0.8 (0.01),0.8 (0),0.82 (0)
0.1,0.1,1e3,750,373 (5.07),36 (7.81),127 (5.07),0.75 (0.01),0.93 (0.01),0.8 (0.01),0.8 (0),0.82 (0)
0.1,0.1,1e3,1e3,373 (5.1),36 (7.81),127 (5.1),0.75 (0.01),0.93 (0.01),0.8 (0.01),0.8 (0),0.82 (0)
0.15,0.001,375,200,200 (9.64),8 (3.29),300 (9.64),0.4 (0.02),0.96 (0.01),0.56 (0.01),0.58 (0.01),0.56 (0.02)
0.15,0.001,375,250,200 (9.64),8 (3.29),300 (9.64),0.4 (0.02),0.96 (0.01),0.56 (0.01),0.58 (0.01),0.56 (0.02)
0.15,0.001,375,500,200 (9.98),8 (3.29),300 (9.98),0.4 (0.02),0.96 (0.01),0.56 (0.01),0.58 (0.01),0.56 (0.02)
